name,fuel,seller_type,transmission,owner
Maruti 800 AC,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,Petrol,Dealer,Automatic,First Owner
Maruti 800 AC,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,Petrol,Dealer,Automatic,First Owner
Maruti Ciaz VXi Plus,Petrol,Dealer,Manual,First Owner
Hyundai Venue SX Opt Diesel,Diesel,Dealer,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,Diesel,Individual,Manual,Second Owner
Jaguar XF 2.2 Litre Luxury,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,Diesel,Dealer,Automatic,First Owner
Maruti Vitara Brezza ZDi Plus AMT,Diesel,Dealer,Automatic,First Owner
Audi Q5 2.0 TDI,Diesel,Dealer,Automatic,First Owner
Honda City V MT,Petrol,Dealer,Manual,First Owner
Tata Tigor 1.2 Revotron XT,Petrol,Individual,Manual,First Owner
Audi A6 2.0 TDI  Design Edition,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Diesel,Dealer,Automatic,Second Owner
Skoda Superb Ambition 2.0 TDI CR AT,Diesel,Dealer,Automatic,Second Owner
Toyota Corolla Altis G AT,Petrol,Individual,Automatic,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,Diesel,Individual,Manual,First Owner
Jeep Compass 1.4 Sport Plus BSIV,Petrol,Individual,Manual,First Owner
Mercedes-Benz E-Class E 200 CGI Elegance,Petrol,Dealer,Automatic,First Owner
Hyundai i10 Magna 1.1L,Petrol,Individual,Manual,Fourth & Above Owner
BMW 3 Series 320d Sport Line,Diesel,Dealer,Automatic,Second Owner
Audi Q7 35 TDI Quattro Premium,Diesel,Dealer,Automatic,Third Owner
Hyundai Elantra CRDi S,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,Diesel,Individual,Manual,First Owner
Honda City i DTEC V,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV with ABS,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio LX,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI Optional,Diesel,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,Petrol,Dealer,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,Diesel,Dealer,Manual,First Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,Petrol,Dealer,Manual,First Owner
Maruti Swift ZDi BSIV,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,Petrol,Individual,Manual,Second Owner
Mahindra Jeep CL 500 MDI,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,Petrol,Dealer,Manual,First Owner
Tata Indica DLS,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Petrol,Dealer,Manual,Second Owner
Toyota Etios GD,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,Diesel,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S6 Plus,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
Tata Indigo Classic Dicor,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,Diesel,Individual,Manual,Third Owner
Tata Indica Vista Quadrajet LS,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Swift 1.3 VXi,Petrol,Individual,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,Diesel,Individual,Manual,First Owner
Maruti Ciaz 1.3 Delta,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 V AT,Petrol,Individual,Automatic,Second Owner
Hyundai i10 Sportz 1.2,Petrol,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,Diesel,Individual,Manual,Second Owner
Hyundai Getz GLS,Petrol,Individual,Manual,Third Owner
Nissan Terrano XL,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Diesel Era,Diesel,Individual,Manual,First Owner
Honda Amaze S i-VTEC,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,Petrol,Dealer,Manual,First Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 W8 2WD,Diesel,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxL Optional,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XO,Petrol,Dealer,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,Diesel,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,Diesel,Dealer,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,Diesel,Individual,Manual,Second Owner
Audi A8 4.2 TDI,Diesel,Dealer,Automatic,First Owner
Datsun RediGO 1.0 S,Petrol,Dealer,Manual,Second Owner
Volkswagen Jetta 1.4 TSI Comfortline,Petrol,Individual,Manual,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,Diesel,Dealer,Automatic,First Owner
Honda Civic 1.8 V AT,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz E-Class Exclusive E 200 BSIV,Petrol,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,Diesel,Individual,Automatic,First Owner
Volvo V40 D3 R Design,Diesel,Dealer,Automatic,First Owner
Maruti SX4 Zxi BSIII,Petrol,Dealer,Manual,First Owner
BMW 7 Series 730Ld,Diesel,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,First Owner
Hyundai Sonata CRDi M/T,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV Petrol,Petrol,Individual,Manual,First Owner
Mahindra Xylo D4,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,Petrol,Individual,Manual,First Owner
Renault KWID RXT,Petrol,Individual,Manual,First Owner
Mahindra Xylo E4 BS III,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,Petrol,Individual,Manual,Fourth & Above Owner
Maruti SX4 ZXI MT BSIV,Petrol,Individual,Manual,Third Owner
Renault KWID RXT,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi S,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 VTVT AT S Option,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio LX BSIV,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIII,Petrol,Individual,Manual,Second Owner
Maruti Ertiga VDI,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel,Diesel,Individual,Manual,Second Owner
Maruti Zen LX,Petrol,Individual,Manual,First Owner
Maruti Baleno Delta 1.2,Petrol,Individual,Manual,First Owner
Maruti Swift Vdi BSIII,Diesel,Individual,Manual,Fourth & Above Owner
Tata Nano Lx BSIV,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater,Diesel,Individual,Manual,First Owner
Maruti Ertiga SHVS VDI,Diesel,Individual,Manual,Second Owner
Hyundai Creta 1.6 CRDi SX,Diesel,Individual,Manual,Second Owner
Honda Amaze S i-Vtech,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,Diesel,Individual,Manual,Third Owner
Chevrolet Cruze LTZ,Diesel,Dealer,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Petrol,Dealer,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.1L,Petrol,Individual,Manual,First Owner
Maruti 800 Std,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet Spark 1.0 LS,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua TDI BSIII,Diesel,Individual,Manual,First Owner
Hyundai Santro LP zipPlus,Petrol,Individual,Manual,First Owner
Tata Bolt Quadrajet XE,Diesel,Individual,Manual,First Owner
Maruti 800 AC BSIII,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,Petrol,Individual,Manual,Second Owner
Hyundai i20 Magna 1.2,Petrol,Individual,Manual,First Owner
Hyundai i20 1.2 Asta,Petrol,Individual,Manual,First Owner
Maruti Ciaz VDi Plus,Diesel,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,Diesel,Individual,Manual,First Owner
Hyundai Santro LE,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza VDi,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,Petrol,Individual,Manual,Second Owner
Hyundai Getz 1.3 GLS,Petrol,Individual,Manual,First Owner
Mahindra Quanto C8,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
Renault KWID RXT,Petrol,Individual,Manual,First Owner
Maruti Wagon R DUO LPG,LPG,Individual,Manual,First Owner
Maruti Wagon R LXI,Petrol,Individual,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0 LS,Petrol,Individual,Manual,Third Owner
Honda City i VTEC SV,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,Diesel,Individual,Manual,First Owner
Jaguar XJ 5.0 L V8 Supercharged,Petrol,Individual,Automatic,Second Owner
Honda Brio E MT,Petrol,Individual,Manual,Second Owner
Maruti Swift VVT ZXI,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,Diesel,Individual,Manual,First Owner
Hyundai i10 Asta AT,Petrol,Individual,Automatic,Second Owner
Chevrolet Beat LT,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,Diesel,Individual,Manual,Third Owner
Maruti Alto LXi,Petrol,Individual,Manual,Third Owner
Chevrolet Beat LT,Petrol,Individual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing XG,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire ZXI Plus,Petrol,Individual,Manual,First Owner
Maruti 800 AC,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI CNG,CNG,Individual,Manual,First Owner
Maruti 800 Std BSII,Petrol,Individual,Manual,Second Owner
Tata Nano LX SE,Petrol,Individual,Manual,First Owner
Hyundai i20 Magna 1.2,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Delta,Petrol,Individual,Manual,First Owner
Maruti Alto LX,Petrol,Individual,Manual,Second Owner
Hyundai i20 Asta,Petrol,Individual,Manual,Second Owner
Tata Nexon 1.2 Revotron XM,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,First Owner
Maruti Zen D,Diesel,Individual,Manual,Second Owner
Volkswagen Vento Celeste 1.5 TDI Highline AT,Diesel,Individual,Automatic,First Owner
Maruti Eeco 7 Seater Standard BSIV,Petrol,Individual,Manual,First Owner
Honda City 1.5 EXI,Petrol,Individual,Manual,Second Owner
